id,Serie,indice,y
322,4,68,2.3
323,4,69,2.05
324,4,70,2.85
325,4,71,2.83
326,4,72,2.14
327,4,73,2.76
328,4,74,2.62
329,4,75,2.95
330,4,76,-0.17
331,4,77,1.05
332,4,78,2.35
333,4,79,1.12
334,4,80,2.85
335,4,81,1.9
336,4,82,1.51
337,4,83,1.59
338,4,84,0.15
339,4,85,2.39
340,4,86,2.05
341,4,87,1.45
342,4,88,1.7
343,4,89,2.9
344,4,90,1.72
345,4,91,1.64
346,4,92,0.55
347,4,93,3.39
348,4,94,1.52
349,4,95,1.98
350,5,1,61
351,5,2,65
352,5,3,55
353,5,4,56
354,5,5,91
355,5,6,80
356,5,7,135
357,5,8,129
358,5,9,129
359,5,10,130
360,5,11,109
361,5,12,126
362,5,13,73
363,5,14,68
364,5,15,74
365,5,16,95
366,5,17,105
367,5,18,108
368,5,19,127
369,5,20,108
370,5,21,126
371,5,22,154
372,5,23,127
373,5,24,103
374,5,25,95
375,5,26,59
376,5,27,68
377,5,28,82
378,5,29,92
379,5,30,124
380,5,31,139
381,5,32,167
382,5,33,138
383,5,34,146
384,5,35,128
385,5,36,145
386,5,37,91
387,5,38,66
388,5,39,89
389,5,40,98
390,5,41,113
391,5,42,130
392,5,43,127
393,5,44,157
394,5,45,157
395,5,46,136
396,5,47,145
397,5,48,112
398,5,49,71
399,5,50,95
400,5,51,95
401,5,52,105
402,5,53,116
403,5,54,104
404,5,55,128
405,5,56,181
406,5,57,130
407,5,58,124
408,5,59,123
409,5,60,152
410,5,61,85
411,5,62,86
412,5,63,101
413,5,64,105
414,5,65,135
415,5,66,142
416,5,67,138
417,5,68,190
418,5,69,129
419,5,70,175
420,5,71,146
421,5,72,179
422,5,73,103
423,5,74,104
424,5,75,80
425,5,76,108
426,5,77,125
427,5,78,134
428,5,79,150
429,5,80,149
430,5,81,148
431,5,82,167
432,5,83,160
433,5,84,168
434,5,85,99
435,5,86,102
436,5,87,98
437,5,88,104
438,5,89,114
439,5,90,165
440,5,91,184
441,5,92,161
442,5,93,205
443,5,94,189
444,5,95,152
445,5,96,146
446,5,97,72
447,5,98,83
448,5,99,97
449,5,100,105
450,5,101,134
451,5,102,145
452,5,103,172
453,5,104,175
454,5,105,149
455,5,106,166
456,5,107,142
457,5,108,146
458,5,109,111
459,5,110,84
460,5,111,116
461,5,112,102
462,5,113,153
463,5,114,176
464,5,115,145
465,5,116,175
466,5,117,147
467,5,118,174
468,5,119,169
469,5,120,131
470,5,121,81
471,5,122,85
472,5,123,107
473,5,124,111
474,5,125,135
475,5,126,114
476,5,127,150
477,5,128,156
478,5,129,146
479,5,130,166
480,5,131,154
481,5,132,130
482,5,133,92
483,5,134,80
484,5,135,87
485,6,1,278
486,6,2,310
487,6,3,298
488,6,4,225
489,6,5,185
490,6,6,385
491,6,7,356
492,6,8,274
493,6,9,197
494,6,10,166
495,6,11,189
496,6,12,203
497,6,13,295
498,6,14,294
499,6,15,318
500,6,16,301
501,6,17,349
502,6,18,550
503,6,19,478
504,6,20,408
505,6,21,294
506,6,22,290
507,6,23,305
508,6,24,351
509,6,25,476
510,6,26,448
511,6,27,337
512,6,28,291
513,6,29,328
514,6,30,500
515,6,31,361
516,6,32,271
517,6,33,228
518,6,34,187
519,6,35,177
520,6,36,213
521,6,37,223
522,6,38,204
523,6,39,171
524,6,40,149
525,6,41,147
526,6,42,305
527,6,43,278
528,6,44,186
529,6,45,152
530,6,46,128
531,6,47,180
532,6,48,168
533,6,49,250
534,6,50,244
535,6,51,198
536,6,52,166
537,6,53,188
538,6,54,324
539,6,55,266
540,6,56,178
541,6,57,176
542,6,58,122
543,6,59,162
544,6,60,183
545,6,61,170
546,6,62,174
547,6,63,166
548,6,64,132
549,6,65,140
550,6,66,280
551,6,67,234
552,6,68,176
553,6,69,141
554,6,70,162
555,6,71,175
556,6,72,252
557,6,73,294
558,6,74,374
559,6,75,324
560,6,76,277
561,6,77,314
562,6,78,385
563,6,79,427
564,6,80,346
565,6,81,279
566,6,82,188
567,6,83,239
568,6,84,276
569,6,85,309
570,6,86,283
571,6,87,243
572,6,88,212
573,6,89,244
574,6,90,439
575,6,91,354
576,6,92,272
577,6,93,223
578,6,94,218
579,6,95,233
580,6,96,258
581,6,97,275
582,6,98,290
583,6,99,227
584,6,100,219
585,6,101,279
586,6,102,494
587,6,103,359
588,6,104,241
589,6,105,178
590,6,106,178
591,6,107,262
592,6,108,226
593,6,109,313
594,6,110,256
595,6,111,290
596,6,112,248
597,6,113,257
598,6,114,507
599,6,115,390
600,6,116,270
601,6,117,229
602,6,118,226
603,6,119,311
604,6,120,298
605,6,121,361
606,6,122,391
607,6,123,393
608,6,124,377
609,6,125,415
610,6,126,634
611,6,127,580
612,6,128,414
613,6,129,383
614,6,130,335
615,6,131,342
616,6,132,372
617,6,133,396
618,6,134,382
619,6,135,346
620,6,136,330
621,6,137,354
622,6,138,603
623,6,139,523
624,6,140,436
625,6,141,336
626,6,142,349
627,6,143,327
628,6,144,399
629,6,145,381
630,6,146,330
631,6,147,424
632,6,148,367
633,6,149,388
634,6,150,749
635,6,151,548
636,6,152,456
637,6,153,329
638,6,154,370
639,6,155,365
640,6,156,400
641,6,157,462
642,6,158,481
643,6,159,463
644,6,160,443
645,6,161,445
646,6,162,811
647,6,163,608
648,6,164,472
649,6,165,388
650,6,166,373
651,6,167,377
652,6,168,423
653,6,169,401
654,6,170,425
655,6,171,396
656,6,172,355
657,6,173,416
658,6,174,699
659,6,175,469
660,6,176,380
661,6,177,338
662,6,178,307
663,6,179,380
664,6,180,328
665,6,181,386
666,6,182,469
667,6,183,465
668,6,184,480
669,6,185,585
670,6,186,831
671,6,187,670
672,6,188,474
673,6,189,416
674,6,190,376
675,6,191,441
676,6,192,414
677,6,193,442
678,6,194,425
679,6,195,475
680,6,196,490
681,6,197,527
682,6,198,872
683,6,199,569
684,6,200,483
685,6,201,394
686,6,202,327
687,6,203,424
688,6,204,417
689,6,205,415
690,6,206,419
691,6,207,416
692,6,208,463
693,6,209,535
694,6,210,844
695,6,211,662
696,6,212,456
697,6,213,378
698,6,214,398
699,6,215,359
700,6,216,405
701,6,217,391
702,6,218,359
703,6,219,411
704,6,220,397
705,6,221,496
706,6,222,777
707,6,223,576
708,6,224,382
709,6,225,352
710,6,226,317
711,6,227,342
712,6,228,388
713,6,229,391
714,6,230,425
715,6,231,372
716,6,232,363
717,6,233,337
718,6,234,753
719,6,235,620
720,6,236,455
721,6,237,375
722,6,238,431
723,6,239,450
724,6,240,402
725,6,241,385
726,6,242,417
727,6,243,400
728,6,244,320
729,6,245,292
730,6,246,778
731,6,247,627
732,6,248,396
733,6,249,339
734,6,250,368
735,6,251,385
736,6,252,410
737,6,253,426
738,6,254,405
739,6,255,413
740,6,256,352
741,6,257,304
742,6,258,675
743,6,259,663
744,6,260,407
745,6,261,407
746,6,262,403
747,6,263,420
748,6,264,410
749,6,265,479
750,6,266,500
751,6,267,475
752,6,268,483
753,6,269,440
754,6,270,947
755,6,271,807
756,6,272,586
757,6,273,581
758,6,274,603
759,6,275,620
760,6,276,669
761,6,277,707
762,6,278,655
763,6,279,638
764,6,280,574
765,6,281,552
766,6,282,980
767,6,283,926
768,6,284,680
769,6,285,597
770,6,286,637
771,6,287,660
772,6,288,704
773,6,289,758
774,6,290,835
775,6,291,747
776,6,292,617
777,6,293,554
778,6,294,929
779,6,295,815
780,6,296,702
781,6,297,640
782,6,298,588
783,6,299,669
784,6,300,675
785,6,301,610
786,6,302,651
787,6,303,605
788,6,304,592
789,6,305,527
790,6,306,898
